dmf_no,dmf_submit_date,dmf_holder,dmf_subject,year,month
15376,5-Apr-01,QUIMICA SINTETICA SA,SUMATRIPTAN SUCCINATE,2001,4
15384,8-May-01,JANSSEN PHARMACEUTICA NV,GALANTAMINE HYDROBROMIDE DRUG SUBSTANCE(SYNTHETIC),2001,5
15385,18-Apr-01,SPECGX LLC,DEXTROAMPHETAMINE SULFATE USP,2001,4
15402,25-Apr-01,POLYPEPTIDE LABORATORIES INC,HUMAN SECRETIN ACETATE DRUG SUBSTANCE,2001,4
15409,30-Apr-01,APOTEX PHARMACHEM INC,ALENDRONATE SODIUM TRIHYDRATE USP ,2001,4
15412,3-May-01,SIGNA SA DE CV,GEIBROZIL USP ,2001,5
15413,4-May-01,PORTON FINE CHEMICALS LTD,MEFLOQUINE HYDROCHLORIDE,2001,5
15417,7-May-01,JANSSEN PHARMACEUTICA NV,NEBIVOLOL HYDROCHLORIDE(R067555) DRUG SUBSTANCE AS,2001,5
15421,25-Jan-00,YUKI GOSEI KOGYO CO LTD,PROTAMINE SULFATE ,2000,1
15423,30-Apr-01,FINETECH PHARMACEUTICAL LTD,CABERGOLINE DRUG SUBSTANCE,2001,4
15425,9-May-01,SPECGX LLC,AMPHETAMINE SULFATE,2001,5
15428,15-May-01,SPECGX LLC,DEXTROAMPHETAMINE SACCHARATE,2001,5
15433,15-May-01,NEULAND LABORATORIES LTD,OFLOXACIN USP,2001,5
15434,15-May-01,NEULAND LABORATORIES LTD,ENALAPRIL MALEATE,2001,5
15435,15-May-01,SPECGX LLC,AMPHETAMINE ASPARTATE,2001,5
15436,15-May-01,DR REDDYS LABORATORIES LTD,ONDANSETRON HYDROCHLORIDE DIHYDRATE USP,2001,5
15438,8-May-01,OLON SPA,FENOFIBRATE,2001,5
15440,15-May-01,EVONIK NUTRITION AND CARE GMBH,AZELASTINE HYDROCHLORIDE ,2001,5
15442,14-May-01,CHEMISCHE FABRIK BERG GMBH,PHENTERMINE HYDROCHLORIDE USP,2001,5
15445,15-May-01,NEULAND LABORATORIES LTD,ITRACONAZOLE USP,2001,5
15452,11-May-01,NAGAOKA AND CO LTD,MENTHOL USP,2001,5
15456,24-May-01,WAVELENGTH ENTERPRISES LTD,FLUTICASONE PROPIONATE,2001,5
15457,4-May-01,FARMHISPANIA SA,BENAZEPRIL HYDROCHLORIDE USP ,2001,5
15464,25-May-01,SYN-TECH CHEM AND PHARM CO LTD,"PRAMOXINE HYDROCHLORIDE, USP",2001,5
15465,31-May-01,NATIONAL INSTITUTES HEALTH NATIONAL INSTITUTE DRUG ABUSE,"METHAMPHETAMINE HYDROCHLORIDE, INJECTABLE 10MG/1ML, 5ML AMPOULES",2001,5
15469,4-Jun-01,COPRIMA SA,FENOFIBRATE,2001,6
15486,21-Jun-01,FARMAK AS,ZOLPIDEM TARTRATE,2001,6
15504,11-Jul-01,TEVA PHARMACEUTICAL INDUSTRIES LTD,NITROFURANTOIN MACROCRYSTALS USP,2001,7
15505,26-Jun-01,IRE (INSTITUT NATIONAL DES RADIOELEMENTS),SODIUM IODIDE I131 (FISSION),2001,6
15506,28-Jun-01,INVENTAA INDUSTRIES PRIVATE LTD,TRIMETHOPRIM USP,2001,6
15511,3-Jul-01,SHANDONG XINHUA PHARMACEUTICAL CO LTD,IBUPROFEN,2001,7
15516,4-Jul-01,EXCELLA GMBH AND CO KG,TIMOLOL MALEATE,2001,7
15517,28-Jun-01,CHIMEX,MEXORYL SX (ECAMSULE),2001,6
15518,22-Jun-01,CALYX CHEMICALS AND PHARMACEUTICALS LTD,ZOPICLONE E.P.,2001,6
15520,29-Jun-01,CATALENT PHARMA SOLUTIONS LLC,ADVIL COLD AND SINUS LIQUID GELS,2001,6
15521,22-Jun-01,FARMHISPANIA SA,FEXOFENADINE HYDROCHLORIDE,2001,6
15525,4-Jul-01,FARMAK AS,TIZANIDINE HCL ,2001,7
15529,13-Jul-01,SOLARA A PHARMA SCIENCES LTD,"RANITIDINE HYDROCHLORIDE, USP (FORM II)",2001,7
15533,13-Jul-01,CATALENT PHARMA SOLUTIONS LLC,"DRISDOL SOFTGELS (ERGOCALCIFEROL, 50,000 IU)",2001,7
15534,18-Jul-01,FARMABIOS SPA,FLUMETHASONE,2001,7
15545,25-Jul-01,DIPHARMA FRANCIS SRL,TRAMADOL HCL ,2001,7
15552,27-Jul-01,CATALENT PHARMA SOLUTIONS LLC,ADVIL PM LIQUI-GELS,2001,7
15553,31-Jul-01,CALYX CHEMICALS AND PHARMACEUTICALS LTD,PYRAZINAMIDE USP,2001,7
15554,26-Jul-01,ADVANCED MICRODEVICES PVT LTD,MEMBRANE DISC CAPSULE AND CARTRIDGE FILTERS USED FOR STERILIZATION OF DRUG PRODUCTS,2001,7
15557,1-Aug-01,USV PRIVATE LTD,BLENDED METFORMIN HCL,2001,8
15562,31-Jul-01,COSMA SPA,TORSEMIDE 1016,2001,7
15563,31-Jul-01,COSMA SPA,TORSEMIDE 1024,2001,7
15567,31-Jul-01,EXCELLA GMBH AND CO KG,GANCICLOVIR,2001,7
15580,10-Aug-01,EXCELLA GMBH AND CO KG,TIMOLOL HEMIHYDRATE,2001,8
15585,15-Aug-01,FARMAK AS,BRIMONIDINE TARTRATE,2001,8
15587,21-Aug-01,JUBILANT GENERICS LTD,CITALOPRAM HYDROBROMIDE USP,2001,8
15592,24-Aug-01,SCINOPHARM TAIWAN LTD,FLUMAZENIL USP,2001,8
15596,27-Aug-01,SEVEN STAR PHARMACEUTICAL CO LTD,METHOCARBAMOL,2001,8
15597,27-Aug-01,KYORIN PHARMACEUTICAL CO LTD,GATIFLOXACIN DRUG SUBSTANCE,2001,8
15601,27-Aug-01,MEDICHEM SA,BRIMONIDINE TARTRATE ,2001,8
15604,29-Aug-01,TEVA PHARMACEUTICAL INDUSTRIES LTD,RISPERIDONE USP,2001,8
15611,31-Aug-01,YUHAN CHEMICAL INC,"RIBAVIRIN USP, 1H-1,2,4-TRIAZOLE-3-CARBOXAMIDE, 1-BETA-D-RIBOFURANOSYL  ",2001,8
15612,25-Aug-01,SUN PHARMACEUTICAL INDUSTRIES LTD,METFORMIN HYDROCHLORIDE USP ,2001,8
15614,3-Sep-01,API CORP,METHYL SALICYLATE,2001,9
15619,14-Sep-01,SIGNA SA DE CV,QUINAPRIL HYDROCHLORIDE ACETONE SOLVATE,2001,9
15623,7-Sep-01,ACS DOBFAR SPA,SODIUM CARBONATE LYOPHILIZED STERILE,2001,9
15629,17-Sep-01,XELLIA PHARMACEUTICALS APS,"TOBRAMYCIN SULPHATE, USP STERILE BULK",2001,9
15635,20-Sep-01,FIS FABBRICA ITALIANA SINTETICI SPA,RIFAXIMIN,2001,9
15642,1-Oct-01,TEVA PHARMACEUTICAL INDUSTRIES LTD,ONDANSETRON HCL DIHYDRATE,2001,10
15646,13-Aug-01,ZHEJIANG JIUZHOU PHARMACEUTICAL CO LTD,SULFADIMETHOXINE,2001,8
15649,4-Oct-01,STERLING SPA,NORGESTIMATE,2001,10
15663,10-Oct-01,SPECGX LLC,NALMEFENE HYDROCHLORIDE,2001,10
15665,16-Oct-01,POLYCARBON INDUSTRIES INC DBA PCI SYNTHESIS,PYRIDOSTIGMINE BROMIDE USP,2001,10
15672,15-Oct-01,QUIMICA SINTETICA SA,LEVOFLOXACIN,2001,10
15677,18-Oct-01,LEK PHARMACEUTICALS DD,LITHIUM CARBONATE A SUBSTANCE,2001,10
15679,18-Oct-01,LIFE TECHNOLOGIES CORP,POROS CHROMATOGRAPHIC RESINS,2001,10
15682,23-Oct-01,INKE SA,RISPERIDONE,2001,10
15684,19-Oct-01,POLYPEPTIDE LABORATORIES SWEDEN AB,CALCITONIN (SALMON) ,2001,10
15687,29-Oct-01,OLON SPA,MEFLOQUINE HYDROCHLORIDE,2001,10
15692,31-Oct-01,PERRIGO API LTD,FLUMAZENIL,2001,10
15693,31-Oct-01,CIPLA LTD,TOPIRAMATE USP,2001,10
15694,29-Oct-01,FINETECH PHARMACEUTICAL LTD,DONEPEZIL HYDROCHLORIDE,2001,10
15699,2-Nov-01,DR REDDYS LABORATORIES LTD,TIZANIDINE HYDROCHLORIDE USP,2001,11
15700,30-Oct-01,AMRI ITALY SRL,RIBAVIRIN USP-EP ,2001,10
15701,2-Nov-01,MYLAN LABORATORIES LTD,TRAZODONE HYDROCHLORIDE USP,2001,11
15720,13-Nov-01,SANDOZ GMBH,RAPAMYCIN,2001,11
15721,13-Nov-01,SIGNA SA DE CV,CLOPIDOGREL BISULPHATE USP,2001,11
15724,15-Nov-01,CIPLA LTD,ONDANSETRON HCL USP,2001,11
15727,31-Oct-01,SUN PHARMACEUTICAL INDUSTRIES LTD,TIZANIDINE HYDROCHLORIDE USP,2001,10
15731,14-Nov-01,HETERO DRUGS LTD,SERTRALINE HCL USP (FORM II PROCESS I),2001,11
15734,19-Nov-01,JM HUBER CORP,CALCIUM CARBONATE,2001,11
15737,21-Nov-01,SIEGFRIED EVIONNAZ SA,BETHANECHOL CHLORIDE,2001,11
15738,26-Nov-01,TEVA PHARMACEUTICAL INDUSTRIES LTD,TORSEMIDE,2001,11
15739,12-Nov-01,UNICHEM LABORATORIES LTD,TIZANIDINE HCL USP,2001,11
15742,12-Nov-01,TEVA PHARMACEUTICAL INDUSTRIES LTD,FLUDARABINE PHOSPHATE,2001,11
15745,29-Nov-01,TEVA PHARMACEUTICAL INDUSTRIES LTD,FLUTICASONE PROPIONATE,2001,11
15748,3-Dec-01,ALKEM LABORATORIES LTD,"HYDROUS BENZOYL PEROXIDE, USP",2001,12
15749,5-Dec-01,MEDICHEM SA,MIRTAZAPINE,2001,12
15750,6-Dec-01,TARO PHARMACEUTICAL INDUSTRIES LTD,"as HYDROCORTISONE 17-BUTYRATE, USP, MICRONIZED ",2001,12
15752,5-Dec-01,CAMBREX CHARLES CITY INC,ONDANSETRON HCL,2001,12
15756,1-Oct-01,BIDACHEM SPA,RIBAVIRIN,2001,10
15757,5-Dec-01,DR REDDYS LABORATORIES LTD,FEXOFENADINE HYDROCHLORIDE ,2001,12
15758,27-Nov-01,PIRAMAL HEALTHCARE UK LTD,CLOPROSTENOL SODIUM,2001,11
15770,14-Dec-01,UNION QUIMICO FARMACEUTICA SA,FLUOXETINE HCL USP,2001,12
15771,17-Dec-01,INDUSTRIALE CHIMICA SRL,DESOGESTREL,2001,12
15772,18-Dec-01,TEVA PHARMACEUTICAL INDUSTRIES LTD,PRILOCAINE USP,2001,12
15774,19-Dec-01,CIPLA LTD,FLUTICASONE PROPIONATE USP,2001,12
15777,21-Dec-01,TEVA PHARMACEUTICAL INDUSTRIES LTD,AMLODIPINE BESYLATE,2001,12
15778,28-Dec-01,CIPLA LTD,FINASTERIDE USP,2001,12
15794,27-Dec-01,TARO PHARMACEUTICAL INDUSTRIES LTD,AMIODARONE HCL USP,2001,12
15803,10-Jan-02,JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,AURANOFIN,2002,1
15804,9-Jan-02,UNION QUIMICO FARMACEUTICA SA (UQUIFA SA),OMEPRAZOLE (SIEVED) ,2002,1
15817,17-Jan-02,PCAS,TRIMEPRAZINE TARTRATE,2002,1
15820,22-Jan-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,TIZANIDINE HYDROCHLORIDE USP,2002,1
15821,24-Jan-02,USV PRIVATE LTD,GLYBURIDE USP ,2002,1
15822,23-Jan-02,TARO PHARMACEUTICAL INDUSTRIES LTD,FLUCONAZOLE USP,2002,1
15824,24-Jan-02,SANDOZ GMBH,MYCOPHENOLIC ACID,2002,1
15828,23-Jan-02,IRVINE SCIENTIFIC SALES CO INC,IS CHO-V(TM) (P),2002,1
15837,31-Jan-02,SPECGX LLC,NALTREXONE METHOBROMIDE,2002,1
15838,29-Jan-02,BIA SEPARATIONS DOO,CIM CONVECTIVE INTERACTION MEDIA® DEAE,2002,1
15839,25-Jan-02,HUBEI BIOCAUSE HEILEN PHARMACEUTICAL CO LTD,IBUPROFEN USP,2002,1
15841,4-Feb-02,SIGNA SA DE CV,ALLOPURINOL USP,2002,2
15846,6-Feb-02,SRI KRISHNA PHARMACEUTICALS LTD,ACETAMINOPHEN USP,2002,2
15847,4-Feb-02,UNICHEM LABORATORIES LTD,BENDROFLUMETHIAZIDE USP,2002,2
15849,1-Feb-02,IPCA LABORATORIES LTD,PROPRANOLOL HYDROCHLORIDE USP,2002,2
15850,2-Feb-02,IPCA LABORATORIES LTD,METOPROLOL TARTRATE USP ,2002,2
15852,31-Jan-02,MEISSNER FILTRATION PRODUCTS INC,STERILUX AND STERIDYNE FILTER ELEMENTS,2002,1
15862,19-Feb-02,TARO PHARMACEUTICAL INDUSTRIES LTD,DIFLORASONE DIACETATE USP MICRONIZED ,2002,2
15864,15-Feb-02,CIPLA LTD,LEVOFLOXACIN HEMIHYDRATE USP,2002,2
15865,20-Feb-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,CARVEDILOL USP,2002,2
15866,18-Feb-02,SERATEC SAS,BETHANECHOL CHLORIDE USP,2002,2
15874,26-Feb-02,STERLING PHARMA SOLUTIONS LTD,ACRIVASTINE,2002,2
15882,13-Feb-02,CHONGQING CARELIFE PHARMACEUTICAL CO LTD,GLIMEPIRIDE USP,2002,2
15886,28-Feb-02,PMC ISOCHEM,PANTOPRAZOLE SODIUM SESQUIHYDRATE ,2002,2
15887,6-Mar-02,DR REDDYS LABORATORIES LTD,TERBINAFINE HYDROCHLORIDE USP,2002,3
15890,8-Mar-02,AVENTIS PHARMA MANUFACTURING PTE LTD,SODIUM CROMOGLICATE,2002,3
15913,20-Mar-02,QUIMICA SINTETICA SA,CIPROFLOXACIN,2002,3
15914,27-Mar-02,CATALENT UK SWINDON ZYDIS LTD,SELEGILINE HYDROCHLORIDE ZYDIS TABLET 1.25MG ,2002,3
15918,29-Mar-02,FLAMMA SPA,MINOXIDIL,2002,3
15919,28-Mar-02,SIEGFRIED EVIONNAZ SA,ARTICAINE HYDROCHLORIDE ,2002,3
15924,4-Apr-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,LAMOTRIGINE,2002,4
15925,4-Apr-02,BAXTER PHARMACEUTICALS SOLUTIONS LLC,STERILE WATER FOR INJECTION FOR RECONSTITUTION ,2002,4
15926,5-Apr-02,ARCH PHARMALABS LTD,MELOXICAM USP,2002,4
15931,26-Mar-02,LUPIN LTD,CEFTRIAXONE SODIUM USP (STERILE ),2002,3
15932,10-Apr-02,ERREGIERRE SPA,RALOXIFENE HYDROCHLORIDE ,2002,4
15937,16-Apr-02,LIPOID GMBH,LIPOID PURIFIED SOYBEAN OIL (PH. EUR. USP),2002,4
15938,18-Apr-02,STREM CHEMICALS INC,CARBOPLATIN (USP),2002,4
15944,17-Apr-02,LIPOID GMBH,LIPOID S VPC-3,2002,4
15956,25-Apr-02,ZHEJIANG HISUN PHARMACEUTICAL CO LTD,VINORELBINE TARTRATE USP,2002,4
15958,29-Apr-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,ZOLPIDEM TARTRATE ,2002,4
15959,28-Apr-02,ZHEJIANG HISUN PHARMACEUTICAL CO LTD,CYTARABINE USP,2002,4
15971,6-May-02,ASH STEVENS INC,ANAGRELIDE HYDROCHLORIDE MONOHYDRATE,2002,5
15972,2-May-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,AZITHROMYCIN DIHYDRATE,2002,5
15974,10-May-02,AVANTOR PERFORMANCE MATERIALS LLC,SODIUM PHOSPHATE DIBASIC USP,2002,5
15976,10-May-02,ACS DOBFAR SPA,"PENICILLIN G POTASSIUM FOR INJECTION, USP (STERILE BULK)",2002,5
15983,24-May-02,PISGAH LABS INC,ETOMIDATE,2002,5
15985,28-May-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,AZITHROMYCIN N,2002,5
15986,24-May-02,CHATTEM CHEMICALS INC,"BUTALBITAL, USP",2002,5
15990,27-May-02,SCINOPHARM TAIWAN LTD,ONDANSETRON HYDROCHLORIDE USP,2002,5
15995,18-May-02,SUN PHARMACEUTICAL INDUSTRIES LTD,METOPROLOL TARTRATE USP ,2002,5
15996,20-May-02,LUPIN LTD,CEFIXIME USP,2002,5
16000,10-Jun-02,HIKMA PHARMACEUTICALS,PREDNISONE ANHYDROUS USP,2002,6
16002,6-Jun-02,SUN PHARMACEUTICAL INDUSTRIES LTD,TRAMADOL HYDROCHLORIDE USP,2002,6
16006,13-Jun-02,INDUSTRIALE CHIMICA SRL,MIDODRINE HYDROCHLORIDE,2002,6
16007,11-Jun-02,NEULAND LABORATORIES LTD,MIRTAZAPINE,2002,6
16008,11-Jun-02,HETERO DRUGS LTD,FOSINOPRIL SODIUM,2002,6
16009,11-Jun-02,DR REDDYS LABORATORIES LTD,SERTRALINE HYDROCHLORIDE (FORM II),2002,6
16010,11-Jun-02,DR REDDYS LABORATORIES LTD,FINASTERIDE USP (FORM III),2002,6
16011,14-Jun-02,JIANGSU HANSOH PHARMACEUTICAL GROUP CO LTD,VINORELBINE TARTRATE USP ,2002,6
16017,21-Jun-02,EDMOND PHARMA SRL,MIDODRINE HYDROCHLORIDE,2002,6
16019,21-Jun-02,AMRI RENSSELAER INC,AMPHETAMINE SULFATE USP,2002,6
16020,21-Jun-02,AMRI RENSSELAER INC,AMPHETAMINE ASPARTATE,2002,6
16021,21-Jun-02,AMRI RENSSELAER INC,DEXTROAMPHETAMINE SULFATE USP,2002,6
16022,21-Jun-02,AMRI RENSSELAER INC,DEXTROAMPHETAMINE SACCHARATE,2002,6
16024,24-Jun-02,CIPLA LTD,ANAGRELIDE HYDROCHLORIDE MONOHYDRATE USP,2002,6
16029,20-Jun-02,DIPHARMA FRANCIS SRL,FEXOFENADINE HYDROCHLORIDE USP,2002,6
16035,26-Jun-02,PROCOS SPA,PYRIDOSTIGMINE BROMIDE,2002,6
16036,20-Jun-02,ACS DOBFAR SPA,7-ADCA (7-AMINO-3-DESACETOXY CEPHALOSPORANIC ACID),2002,6
16038,27-Jun-02,FORMOSA LABORATORIES INC,LEFLUNOMIDE,2002,6
16044,8-Jul-02,MOEHS IBERICA SL,CARVEDILOL,2002,7
16047,11-Jul-02,UQUIFA MEXICO SA DE CV,METFORMIN HYDROCHLORIDE,2002,7
16048,12-Jul-02,BIOCON LTD,PRAVASTATIN SODIUM USP,2002,7
16049,12-Jul-02,BIOCON LTD,COMPACTIN,2002,7
16052,15-Jul-02,AMRI ITALY SRL,PANCURONIUM BROMIDE,2002,7
16053,27-Jun-02,CHEMWERTH INC,ESMOLOL HCL,2002,6
16055,19-Jul-02,TRIFARMA SPA,PROCHLORPERAZINE EDISYLATE USP ,2002,7
16056,22-Jul-02,PANION AND BF BIOTECH INC,FERRIC CITRATE,2002,7
16058,28-Jun-02,KREATIVE ORGANICS PRIVATE LTD,BISACODYL USP,2002,6
16059,15-Jul-02,SUMITOMO DAINIPPON PHARMA CO LTD,SM-13496,2002,7
16060,24-Jul-02,HIKAL LTD,GABAPENTIN USP,2002,7
16063,19-Jul-02,HELSINN ADVANCED SYNTHESIS SA,PALONOSETRON HYDROCHLORIDE USP,2002,7
16070,24-Jul-02,AMRI ITALY SRL,B-WING,2002,7
16072,22-Jul-02,SCINOPHARM TAIWAN LTD,BENAZEPRIL HYDROCHLORIDE USP,2002,7
16079,30-Jul-02,NIPPON SYNTHETIC CHEMICAL INDUSTRY CO LTD,HMN-214,2002,7
16080,1-Aug-02,AVANTI POLAR LIPIDS INC,"1,2-DIPALMITOYL-SN-GLYCERO-3-[PHOSPHO-RAC-(1-GLYCEROL)] (SODIUM SALT) (770255) ",2002,8
16082,6-Aug-02,SANDOZ GMBH,CEFTAZIDIME FOR INJECTION,2002,8
16085,2-Aug-02,SAFC INC,"2-methylene-19-nor-20-epi-1a,25-dihydroxyvitamin D3",2002,8
16089,6-Aug-02,HIKMA PHARMACEUTICALS,HYDROCORTISONE USP,2002,8
16090,7-Aug-02,DR REDDYS LABORATORIES LTD,CLOPIDOGREL BISULFATE [FORM-I] USP,2002,8
16093,9-Aug-02,LIPOID GMBH,LIPOID FA 16:0,2002,8
16099,15-Aug-02,PATHEON API MANUFACTURING INC A PART OF THERMO FISHER SCIENTIFIC,METYROSINE USP,2002,8
16104,16-Aug-02,NEULAND LABORATORIES LTD,ALBUTEROL USP,2002,8
16108,21-Aug-02,LUPIN LTD,CEFUROXIME AXETIL (AMORPHOUS) USP,2002,8
16109,23-Aug-02,CIPLA LTD,LEFLUNOMIDE USP,2002,8
16110,22-Aug-02,POLYPEPTIDE LABORATORIES INC,THYMOSIN-ALPHA 1 DRUG SUBSTANCE,2002,8
16112,29-Aug-02,ALEMBIC PHARMACEUTICALS LTD,LEFLUNOMIDE USP,2002,8
16113,22-Aug-02,SUN PHARMACEUTICAL INDUSTRIES LTD,MIRTAZAPINE USP [HEMIHYDRATE],2002,8
16118,23-Aug-02,SCINOPHARM TAIWAN LTD,DANTROLENE SODIUM USP,2002,8
16119,27-Aug-02,WOCKHARDT LTD,BETHANECHOL CHLORIDE USP,2002,8
16120,30-Aug-02,MILLICENT HOLDINGS LTD,ESTRADIOL 3 ACETATE,2002,8
16122,4-Sep-02,SEVEN STAR PHARMACEUTICAL CO LTD,GUAIFENESIN USP,2002,9
16124,6-Sep-02,EMCURE PHARMACEUTICALS LTD,LEFLUNOMIDE USP,2002,9
16127,6-Sep-02,SIEGFRIED EVIONNAZ SA,MEFLOQUINE HYDROCHLORIDE,2002,9
16134,13-Sep-02,ORCHID PHARMA LTD,"CEFAZOLIN SODIUM, USP (STERILE BULK)",2002,9
16135,16-Sep-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,"MIDODRINE HYDROCHLORIDE, NON-STERILE, BULK DRUG SUBSTANCE",2002,9
16140,19-Sep-02,WAVELENGTH ENTERPRISES LTD,MODAFINIL,2002,9
16142,24-Sep-02,JUBILANT GENERICS LTD,LAMOTRIGINE USP,2002,9
16143,23-Sep-02,DR REDDYS LABORATORIES LTD,RALOXIFENE HYDROCHLORIDE USP,2002,9
16144,24-Sep-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,ACYCLOVIR,2002,9
16145,24-Sep-02,SAGE CHEMICALS INC,FENOLDOPAM MESYLATE USP,2002,9
16147,5-Sep-02,MALLADI DRUGS AND PHARMACEUTICALS LTD,D-PSEUDOEPHEDRINE SULFATE ,2002,9
16150,24-Sep-02,ACETO CORP,LEVOCARNITINE USP,2002,9
16151,25-Sep-02,TARO PHARMACEUTICAL INDUSTRIES LTD,GABAPENTIN USP   ,2002,9
16152,25-Sep-02,SANOFI CHIMIE,"HYDROXOCOBALAMIN ACETATE PH.EUR.,JP,PYROGEN-FREE",2002,9
16166,1-Oct-02,CAMBREX CHARLES CITY INC,"NICOTINE POLACRILEX, 15%, USP ",2002,10
16172,30-Sep-02,INKE SA,ONDANSETRON BASE,2002,9
16174,24-Sep-02,SUN PHARMACEUTICAL INDUSTRIES LTD,FLUVOXAMINE MALEATE USP,2002,9
16176,4-Oct-02,CHATTEM CHEMICALS INC,METHAMPHETAMINE HYDROCHLORIDE USP,2002,10
16178,9-Oct-02,SYNBIAS PHARMA AG,DOXORUBICIN HYDROCHLORIDE,2002,10
16180,8-Oct-02,DR REDDYS LABORATORIES LTD,SULINDAC USP,2002,10
16186,8-Oct-02,IRVINE SCIENTIFIC SALES CO,IS CHO-CD(TM) (L) CATALOG #91119,2002,10
16187,4-Oct-02,UQUIFA MEXICO SA DE CV,TERBINAFINE HYDROCHLORIDE,2002,10
16188,4-Oct-02,UQUIFA MEXICO SA DE CV,VENLAFAXINE HYDROCHLORIDE,2002,10
16189,4-Oct-02,UNICHEM LABORATORIES LTD,MELOXICAM USP,2002,10
16193,17-Oct-02,DR REDDYS LABORATORIES LTD,RAMIPRIL USP ,2002,10
16201,14-Oct-02,OLON SPA,KETOTIFEN HYDROGEN FUMARATE,2002,10
16205,22-Oct-02,ZHEJIANG HISUN PHARMACEUTICAL CO LTD,CLADRIBINE USP,2002,10
16208,25-Oct-02,ALEMBIC PHARMACEUTICALS LTD,FENOFIBRATE USP,2002,10
16210,23-Oct-02,ZHEJIANG KANGLE PHARMACEUTICAL CO LTD,ACETAMINOPHEN,2002,10
16212,17-Oct-02,UQUIFA MEXICO SA DE CV,KETOCONAZOLE,2002,10
16215,22-Oct-02,ERREGIERRE SPA,NISOLDIPINE,2002,10
16232,8-Nov-02,3M PURIFICATION INC,LIFEASSURE(TM) PFS SERIES AND LIFEASSURE(TM) FP SERIES FILTER PRODUCTS,2002,11
16235,5-Nov-02,YANGZHOU PHARMACEUTICAL CO LTD,ISONIAZID,2002,11
16242,13-Nov-02,INDENA SPA,PACLITAXEL P.I.,2002,11
16243,15-Nov-02,DELMAR CHEMICALS INC,MONTELUKAST SODIUM THIOL ACID,2002,11
16244,14-Nov-02,WAVELENGTH ENTERPRISES LTD,CETIRIZINE DIHYDROCHLORIDE ,2002,11
16245,15-Nov-02,PAR A TECHNOLOGIES PRIVATE LTD,CLONAZEPAM,2002,11
16250,19-Nov-02,DIPHARMA FRANCIS SRL,MODAFINIL USP,2002,11
16251,14-Nov-02,UNION QUIMICO FARMACEUTICA SA (UQUIFA SA),RANITIDINE BASE,2002,11
16255,15-Nov-02,ZHEJIANG HISUN PHARMACEUTICAL CO LTD,MESNA USP,2002,11
16258,31-Oct-02,SYNBIAS PHARMA AG,EPIRUBICIN HYDROCHLORIDE,2002,10
16259,20-Nov-02,SUVEN LIFE SCIENCES LTD,LAMOTRIGINE USP,2002,11
16262,27-Nov-02,TARO PHARMACEUTICAL INDUSTRIES LTD,CETIRIZINE DIHYDROCHLORIDE USP,2002,11
16263,18-Nov-02,UNICHEM LABORATORIES LTD,METRONIDAZOLE USP ,2002,11
16264,25-Nov-02,FERMIC SA DE CV,CLAVULANATE POTASSIUM+SILICON DIOXIDE (1:1),2002,11
16265,25-Nov-02,FERMIC SA DE CV,CLAVULANATE POTASSIUM+MICROCRYSTALLINE CELLULOSE 1:1,2002,11
16267,25-Nov-02,WOCKHARDT LTD,CEFUROXIME AXETIL(AMORPHOUS),2002,11
16271,26-Nov-02,GADOR SA,NORGESTIMATE- DEXNORGESTREL ACETIME,2002,11
16278,26-Nov-02,UNICHEM LABORATORIES LTD,HYDROCHLOROTHIAZIDE USP,2002,11
16279,2-Dec-02,SMS PHARMACEUTICALS LTD,SUMATRIPTAN SUCCINATE,2002,12
16281,2-Dec-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,VENLAFAXINE HYDROCHLORIDE,2002,12
16283,28-Nov-02,AMINO CHEMICALS LTD,TERBINAFINE HYDROCHLORIDE,2002,11
16286,4-Dec-02,AKZO NOBEL CHEMICALS SA DE CV,PERKADOX API (BENZOYL PEROXIDE),2002,12
16297,2-Dec-02,CADILA HEALTHCARE LTD,FLUCONAZOLE USP,2002,12
16300,11-Dec-02,SUN PHARMACEUTICAL INDUSTRIES LTD,VALACYCLOVIR HYDROCHLORIDE USP (HYDROUS),2002,12
16301,5-Dec-02,ERREDUE SPA INNOVATIVE CHEMICAL AND LIFE,PHENYTOIN SODIUM,2002,12
16305,11-Dec-02,ZHEJIANG HISUN PHARMACEUTICAL CO LTD,SIMVASTATIN USP,2002,12
16306,12-Dec-02,MYLAN LABORATORIES LTD,MODAFINIL USP,2002,12
16310,13-Dec-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,MODAFINIL,2002,12
16312,11-Dec-02,KATWIJK CHEMIE BV,DIVALPROEX SODIUM,2002,12
16314,17-Dec-02,TEVA PHARMACEUTICAL INDUSTRIES LTD,LABETALOL HYDROCHLORIDE,2002,12
16316,27-Jan-03,DR REDDYS LABORATORIES LTD,FLUCONAZOLE (FORM 2) ,2003,1
16317,13-Dec-02,INKE SA,ONDANSETRON HYDROCHLORIDE,2002,12
